
Login: null;Czas całkowity: 63.939s; Całkowity czas wydechu: 40.174s; Punkty: 4; Data: 09-01-2016 19:43:12
Login: null;Czas całkowity: 33.512s; Całkowity czas wydechu: 17.008s; Punkty: 3; Data: 09-01-2016 19:45:05
Login: null;Czas całkowity: 20.827s; Całkowity czas wydechu: 11.133s; Punkty: 2; Data: 09-01-2016 19:46:01
Login: null;Czas całkowity: 72.393s; Całkowity czas wydechu: 36.45499999999999s; Punkty: 3; Data: 09-01-2016 19:48:14
Login: null;Czas całkowity: 6.534s; Całkowity czas wydechu: 1.9880000000000002s; Punkty: 0; Data: 09-01-2016 19:50:16
Login: Tomek;Czas całkowity: 157.902s; Całkowity czas wydechu: 95.92800000000001s; Punkty: 14; Data: 09-01-2016 19:54:52
Login: null;Czas całkowity: 25.846s; Całkowity czas wydechu: 11.401000000000002s; Punkty: 3; Data: 09-01-2016 20:38:42
Login: null;Czas całkowity: 69.989s; Całkowity czas wydechu: 11.341s; Punkty: 1; Data: 09-01-2016 20:47:31
Login: null;Czas całkowity: 5.181s; Całkowity czas wydechu: 0.082s; Punkty: 0; Data: 09-01-2016 20:48:02
Login: null;Czas całkowity: 18.265s; Całkowity czas wydechu: 2.849s; Punkty: 1; Data: 09-01-2016 20:56:09
Login: Tomek;Czas całkowity: 20.887s; Całkowity czas wydechu: 5.560999999999999s; Punkty: 0; Data: 09-01-2016 20:58:56
Login: Tomek;Czas całkowity: 114.446s; Całkowity czas wydechu: 70.062s; Punkty: 14; Data: 09-01-2016 21:11:26
Login: Tomek;Czas całkowity: 34.851s; Całkowity czas wydechu: 13.724s; Punkty: 4; Data: 09-01-2016 22:12:07
Login: Tomek;Czas całkowity: 216.68s; Całkowity czas wydechu: 136.261s; Punkty: 14; Data: 09-01-2016 23:01:55
Login: Tomek;Czas całkowity: 50.156s; Całkowity czas wydechu: 17.173s; Punkty: 4; Data: 09-01-2016 23:04:00
Login: Tomek;Czas całkowity: 143.394s; Całkowity czas wydechu: 93.77499999999998s; Punkty: 11; Data: 09-01-2016 23:10:37
Login: Tomek;Czas całkowity: 39.842s; Całkowity czas wydechu: 12.539s; Punkty: 4; Data: 10-01-2016 14:38:16
Login: Tomek;Czas całkowity: 32.824s; Całkowity czas wydechu: 12.213s; Punkty: 4; Data: 10-01-2016 15:39:55
Login: Tomek;Czas całkowity: 117.465s; Całkowity czas wydechu: 71.98499999999999s; Punkty: 14; Data: 10-01-2016 17:07:20
Login: Tomek;Czas całkowity: 31.942s; Całkowity czas wydechu: 8.462s; Punkty: 3; Data: 10-01-2016 17:41:16
Login: Tomek;Czas całkowity: 359.963s; Całkowity czas wydechu: 0.032s; Punkty: 0; Data: 10-01-2016 18:16:34
Login: Tomek;Czas całkowity: 319.427s; Całkowity czas wydechu: 45.235s; Punkty: 10; Data: 10-01-2016 18:32:54
Login: Tomek;Czas całkowity: 240.23s; Całkowity czas wydechu: 44.35600000000001s; Punkty: 10; Data: 10-01-2016 18:38:38
Login: Tomek;Czas całkowity: 298.997s; Całkowity czas wydechu: 40.217s; Punkty: 9; Data: 10-01-2016 18:55:04
Login: Tomek;Czas ca�kowity: 76.488s; Ca�kowity czas wydechu: 40.26999999999999s; Punkty: 10; Data: 10-01-2016 19:24:18
Login: Tomek;Czas ca�kowity: 82.305s; Ca�kowity czas wydechu: 39.590999999999994s; Punkty: 10; Data: 10-01-2016 19:47:45
Login: Tomek;Czas ca�kowity: 94.481s; Ca�kowity czas wydechu: 41.432s; Punkty: 10; Data: 10-01-2016 20:18:22
Login: Tomek;Czas ca�kowity: 96.093s; Ca�kowity czas wydechu: 48.81099999999999s; Punkty: 10; Data: 10-01-2016 20:25:58
Login: Tomek;Czas ca�kowity: 102.189s; Ca�kowity czas wydechu: 56.833s; Punkty: 10; Data: 10-01-2016 20:48:39
Login: Tomek;Czas ca�kowity: 106.33s; Ca�kowity czas wydechu: 55.623000000000005s; Punkty: 10; Data: 10-01-2016 20:51:04
Login: Tomek;Czas ca�kowity: 83.35s; Ca�kowity czas wydechu: 42.986000000000004s; Punkty: 10; Data: 10-01-2016 20:57:46
Login: Tomek;Czas ca�kowity: 99.302s; Ca�kowity czas wydechu: 52.38000000000001s; Punkty: 10; Data: 10-01-2016 21:08:24
Login: Tomek;Czas ca�kowity: 122.907s; Ca�kowity czas wydechu: 70.777s; Punkty: 10; Data: 10-01-2016 21:22:04
